Party_Name,Make,Product_Name,Batch_No,Packing,Item_Code,Billed_Qty,Free_Qty,Rate,Total_Amount,Date
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,TRETCH STRETCH MARK CREAM,ILS26G0457,50GM TUBE,BCC2601011,0.0,1.0,160.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,WEWHITE NANO SHOT,ILS26G0032,4X5ML BOT,MNL-122560,10.0,0.0,80.0,800.0,2026-04-04
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",OBGYN,RE-PREG SACHET(ORANGE),ILS26G0032,15X10 GM,NZS698,10.0,1.0,180.0,1800.0,2026-04-04
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",ADIVYA,ESOPLATE TAB.,ILS26G0491,10X15 TAB,AYT24024,1.0,0.0,235.0,235.0,2026-05-04
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",BI-CURE,TAMPRESS-4 TABLET,ILS26G0312,10X10 TAB,FT5267,10.0,0.0,85.0,850.0,2026-04-22
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",ISCON,CEFCON-CV TAB.,ILS26G0095,10X6 TAB,CTL26005A,3.0,0.0,400.0,1200.0,2026-04-07
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",ISCON,CZZ-500 D TABLET,ILS26G0502,10X15 BOX,MNT-112552,10.0,0.0,140.0,1400.0,2026-05-05
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",ISCON,ISCOZOLE-D CAP,ILS26G0265,15X20 STRIP,GCE25007B,1.45,0.0,205.0,297.25,2026-04-18
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",ISCON,KOOLRAFT SYRUP,ILS26G0049,150ML BOT,2506037,96.0,0.0,46.0,4416.0,2026-04-06
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",ISCON,RCON-D TABLET,ILS26G0491,10X10 TAB,TG250009AF,10.0,0.0,70.0,700.0,2026-05-04
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",ISCON,SERROF-DP TAB.,ILS26G0312,10X10 TAB,TGT0126083,20.0,0.0,95.0,1900.0,2026-04-22
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",ISCON,THROMEASE OINTMENT,ILS26G0509,20GM TUBE,E5K034A,60.0,0.0,22.0,1320.0,2026-05-05
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",OTHCURE,RHEUFA-5 TABLETS,ILS26G0273,10X1X10 BOX,VGT250091B,11.2,0.0,275.0,3080.0,2026-04-18
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",PEDIAISCON,DEFFE SUSPENSION,ILS26G0280,30 ML,OML26003A,200.0,0.0,13.0,2600.0,2026-04-20
"[AAR03] - AARSH REMEDIES PVT LTD, AHMEDABAD",PEDIAISCON,REE-D3 DROPS,ILS26G0296,30 ML,SM8101,100.0,0.0,12.0,1200.0,2026-04-21
"[AAS04] - AASHA MEDICAL AGENCY, BANASKANTHA",ISCON,BUDABEST-L RESPULES,ILS26G0191,10X5X2ML BOX,R115013E,20.0,0.0,390.0,7800.0,2026-04-14
"[ADC01] - ADCTROGEN PHARMACEUTICAL PRIVATE LIMITED, AHMEDABAD",OBGYN,ELAC-T TABLET,ILS26G0060,10X1X10 TAB,WEA/11039A,10.0,0.0,850.0,8500.0,2026-04-06
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ADIVYA,LIVO-M SYP. 200ML,ILS26G0402,200 ML,RP2634,288.0,0.0,22.0,6336.0,2026-04-28
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ADIVYA,LIVO-M SYP. 100ML,ILS26G0394,100 ML,RP3013,200.0,0.0,15.0,3000.0,2026-04-27
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ADIVYA,LUCOMIN SYP.,ILS26G0402,200 ML,RP2882,360.0,0.0,21.0,7560.0,2026-04-28
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ADIVYA,SCODIN OIL 50ML.,ILS26G0151,50 ML,RP2705,240.0,0.0,27.0,6480.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ADIVYA,SHAILEX-SF POWDER (SUGAR FREE),ILS26G0151,100 GM,RP3040,640.0,0.0,30.6,19584.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",BENNEVOLAN,BX-MONT TABLET,ILS26G0151,10X10 BOX,24RT0697C,10.0,0.0,150.0,1500.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",DERMAS,DAYTON CREAM,ILS26G0151,30 GM,C-894,150.0,0.0,45.0,6750.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",DERMAS,FLU-Z 200 TABLET,ILS26G0151,60X1 TAB,CCT252483,100.0,0.0,220.0,22000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",DERMAS,LICLAC LOTION,ILS26G0151,30 ML,K/00957,120.0,0.0,26.0,3120.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",DERMAS,SCABON-S SOAP.,ILS26G0151,75 GM,PS0217,1080.0,0.0,25.0,27000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",DERMAS,WEWHITE PLUS TABLET,ILS26G0151,10X1X10 BOX,AT2602-031,50.0,0.0,900.0,45000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",DERMAS,ZETONE SOAP.,ILS26G0151,75 GM,IZ-048,2400.0,0.0,27.0,64800.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",GIFT,GIFT BALL PEN(ATOM),ILS26G0151,1 NOS,2026,0.0,50.0,10.0,0.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,ACLON-P TAB.,ILS26G0151,10X10 TAB,25012068,50.0,0.0,60.0,3000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,ACLON-MR TAB.,ILS26G0151,10X10 TAB,CCT25863B,20.0,0.0,119.0,2380.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,ACLON-TP TAB.,ILS26G0151,10X10 TAB,GAE26001,50.0,0.0,640.0,32000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,MOXCLAO CL- 625 LB TABLET,ILS26G0453,10X10 BOX,TB260280B,487.0,0.0,550.0,267850.0,2026-04-30
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,BENFLOX-DX DROPS,ILS26G0394,10 ML,26EC08K,500.0,0.0,12.0,6000.0,2026-04-27
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,BENMOX-KT EYE DROP,ILS26G0269,5 ML,24EK04L,100.0,50.0,11.0,1100.0,2026-04-18
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,BL-MONT TABLET,ILS26G0151,10X10 TAB,MT260672,50.0,0.0,315.0,15750.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,CALOREX-XL SOFTGEL CAPS,ILS26G0151,10X15 CAP,CF-250230,10.0,0.0,250.0,2500.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,CEFIGYN 200 TABLET,ILS26G0151,10X10 BOX,T260180H,479.0,0.0,450.0,215550.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,CLIDICLON TABLET,ILS26G0394,20X10 TAB,BT25-736,50.0,0.0,140.0,7000.0,2026-04-27
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,COLYTE POWDER SACHET(ORANGE),ILS26G0340,21.8 GM,IO-01,2100.0,0.0,6.0,12600.0,2026-04-23
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,COZITH 500-LB (5X10) TABLET,ILS26G0151,10X5 TAB,GAL25007H,50.0,0.0,610.0,30500.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,ESOFATE-O SUSP.,ILS26G0151,100 ML,EEO-2601,1200.0,0.0,36.0,43200.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,ISOZONE-S 1.5 INJ.,ILS26G0151,1 VIAL,CD26A-037E,600.0,0.0,34.0,20400.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,IZOFLUX TABLET,ILS26G0151,20X10 BOX,T250544,100.0,0.0,145.0,14500.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,IZPO-200 TABLET,ILS26G0340,10X10 BOX,CT26146C,100.0,0.0,450.0,45000.0,2026-04-23
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,LEEBONN-500 TAB.,ILS26G0151,5X4X5 BOX,2505027,20.0,0.0,340.0,6800.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,LIFCET-LV TAB.,ILS26G0151,10X10 BOX,TG26-0049K,100.0,0.0,40.0,4000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,LIFCET-COLD SUPER TABLET,ILS26G0151,20X10 BOX,TG01260824,10.0,0.0,215.0,2150.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,MOCER TABLET NEW,ILS26G0151,20X10 TAB,2526829,236.8,0.0,94.0,22259.2,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,MOXYCON-CL-LB 625 TABLET (POUCH PACK),ILS26G0151,10X1X10 BOX,BTB26027,50.0,0.0,695.0,34750.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,ONZYME SYP 200ML. 12%,ILS26G0402,200 ML,S-290/25,360.0,0.0,27.0,9720.0,2026-04-28
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,ONZYME DROP.,ILS26G0151,30 ML,SM8144,202.0,0.0,15.0,3030.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,RABESCON-DSR CAPSULES,ILS26G0151,10X15 BOX,APGC260078,490.0,0.0,195.0,95550.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,REE-D3 NANO SHOTS,ILS26G0151,4X5 ML,THL25190,200.0,0.0,45.0,9000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,ROXICON-150 TAB.,ILS26G0151,10X10 TAB,VGT253866,10.0,0.0,220.0,2200.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,SCOFF-200 TAB.,ILS26G0151,10X10 TAB,WEB/02065A,20.0,0.0,150.0,3000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,SPENTA-40 TAB.,ILS26G0151,10X10 TAB,OMT26007D,50.0,0.0,96.0,4800.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,SPENTA INJ.,ILS26G0151,1 VIAL,UGD-25172A,600.0,0.0,11.0,6600.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,TRICYCON SYP.,ILS26G0151,200 ML,OML26051B,216.0,0.0,27.0,5832.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",ISCON,VORYX-200 TABLET,ILS26G0151,10X1X4 BOX,VGT260142B,30.0,0.0,1200.0,36000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",OBGYN,LETROVA 2.5 MG TAB,ILS26G0151,10X1X5 BOX,MT25157-A,10.0,0.0,150.0,1500.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",OBGYN,PILL-ON TABLET,ILS26G0151,10X1X21 BOX,UHT26103,10.0,0.0,185.0,1850.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",OBGYN,PREDERA-8 TAB,ILS26G0151,10X10 TAB,FT6111,100.0,0.0,170.0,17000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",OBGYN,RE-PREG SACHET(ORANGE),ILS26G0151,15X10 GM,NZS698,50.0,0.0,160.0,8000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",OBGYN,WESURE-F TABLET,ILS26G0388,10X1X10 TAB,NPT-1541,15.0,0.0,325.0,4875.0,2026-04-27
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",PEDIAISCON,CEFCON-100 LB DRY SYRUP WFI,ILS26G0151,30 ML,D250815D,1000.0,0.0,29.0,29000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",PEDIAISCON,LIFART-L SYP.,ILS26G0151,30 ML,L031707-25,1200.0,0.0,25.0,30000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",PEDIAISCON,MOXYCON-CL 457 (WFI) DSYP,ILS26G0151,30 ML,BDG25056B,400.0,0.0,45.0,18000.0,2026-04-10
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",PEDIAISCON,SALBRON-P 60ML SYP.,ILS26G0402,60 ML,OML25178B,600.0,0.0,17.0,10200.0,2026-04-28
"[AKA01] - AKASH MEDICAL AGENCIES, JAUNPUR",PEDIAISCON,SALBRON-P 100ML SYP.,ILS26G0151,100 ML,OML26016A,240.0,0.0,25.0,6000.0,2026-04-10
"[AKA08] - AKASH PHARMA, THRISSUR",ISCON,SERROF-10 TAB.,ILS26G0259,10X10 TAB,TG26-0286A,20.0,2.0,75.0,1500.0,2026-04-18
"[ALI03] - ALINOISS PHARMACEUTICALS, SURAT",PEDIAISCON,RADIN SUSPENSION,ILS26G0541,100 ML,S25L124,119.0,1.0,21.0,2499.0,2026-05-07
"[ALS01] - ALSYMEDPHARMA, TIRUNELVELI",ISCON,ISOPROT-MOM PROTEIN POWDER,ILS26G0051,200 GM,LA230,48.0,0.0,85.0,4080.0,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",DERMAS,DIVA SOAP.,ILS26G0054,75 GM,DI-013,150.0,0.0,31.04,4656.0,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",DERMAS,I-CLAMINE LOTION,ILS26G0054,1X100 ML,4131,200.0,0.0,32.98,6596.0,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",DERMAS,SCABON-S SOAP.,ILS26G0054,75 GM,PS0217,108.0,0.0,24.25,2619.0,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,AM-PM SOFTGEL CAP.,ILS26G0054,10X10 CAP,ALD5770D,15.0,0.0,126.1,1891.5,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,APHLIN-N TABLET,ILS26G0054,10X10 TAB,GT25649C,3.0,0.0,339.5,1018.5,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,APHLIN-DM TAB,ILS26G0054,10X1X10 STRIP,VGT260403G,3.0,0.0,378.3,1134.9,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,DRONE-M,ILS26G0054,10X10 BOX,26RT0126F,20.0,0.0,126.1,2522.0,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,ESOFATE SUSP.,ILS26G0347,200 ML,SP251259,144.0,0.0,40.16,5783.04,2026-04-24
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,ISOGEL SUSP. (REGULAR),ILS26G0054,170 ML,DLS6042,192.0,0.0,21.34,4097.28,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,LIFCO-D SYP.,ILS26G0347,100 ML,25KL012,72.0,0.0,18.43,1326.96,2026-04-24
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,NUPLEX-L 100ML SYP.,ILS26G0347,100 ML,SM7815,120.0,0.0,15.71,1885.2,2026-04-24
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,OXYRICH CAP.,ILS26G0054,10X1X10 CAP,MNC-12613,3.0,0.0,150.35,451.05,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,REE-400 SOFTGEL CAPS (DRUG),ILS26G0347,10X1X10 STRIP,HPDC26147,30.0,0.0,324.95,9748.5,2026-04-24
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,RIFASER 400 TABLET,ILS26G0347,10X1X10 BOX,FT6083A,5.0,0.0,1086.4,5432.0,2026-04-24
"[ANN03] - ANNAI MEDICALS, THANJAVUR",ISCON,VITSEE TAB.,ILS26G0054,10X15 TAB,EHV-192,3.0,0.0,164.9,494.7,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",OBGYN,XTRA-M TAB.,ILS26G0054,10X1X10 BOX,GER25002,50.0,10.0,494.7,24735.0,2026-04-06
"[ANN03] - ANNAI MEDICALS, THANJAVUR",PEDIAISCON,IB-MOL SUSPENSION,ILS26G0347,100ML BOT,OML25183B,72.0,0.0,17.46,1257.12,2026-04-24
"[ANU05] - ANUJ PHARMA, RAJKOT",ABY BABY,ABYBABY DIAPER RASH CREAM,ILS26G0185,60 ML,AL0416,10.0,0.0,38.25,382.5,2026-04-14
"[ANU05] - ANUJ PHARMA, RAJKOT",BENNEVOLAN,DICLONEE SPRAY,ILS26G0452,50ML BOT,EB-012,50.0,5.0,47.6,2380.0,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",BI-CURE,TELBICURE-CT TABLET,ILS26G0185,10X10 BOX,24RT1067A,5.0,0.0,126.65,633.25,2026-04-14
"[ANU05] - ANUJ PHARMA, RAJKOT",DERMAS,BENOXY-CL SOAP,ILS26G0185,75GM NOS,BC-002,24.0,0.0,17.85,428.4,2026-04-14
"[ANU05] - ANUJ PHARMA, RAJKOT",DERMAS,DIVA CREAM (JAR),ILS26G0452,75 GM,4232,15.0,0.0,23.8,357.0,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",DERMAS,KANACON-100 CAP,ILS26G0452,10X10 BOX,F078,3.0,0.0,276.25,828.75,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",DERMAS,DERMASLOVE RAYFLUX SERUM,ILS26G0452,30ML BOT,AL0440,3.0,0.0,93.5,280.5,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",DERMAS,MAXWHITE ULTRA CREAM,ILS26G0291,20 GM,K/00762,10.0,0.0,65.45,654.5,2026-04-20
"[ANU05] - ANUJ PHARMA, RAJKOT",DERMAS,TRESSTREATS SHAMPOO,ILS26G0452,100 ML,SH-030,10.0,0.0,93.5,935.0,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",DERMAS,UREMAX CREAM,ILS26G0185,75 GM,0064,9.0,0.0,28.05,252.45,2026-04-14
"[ANU05] - ANUJ PHARMA, RAJKOT",DERMAS,ZETONE SOAP.,ILS26G0185,75 GM,IZ-048,24.0,0.0,25.5,612.0,2026-04-14
"[ANU05] - ANUJ PHARMA, RAJKOT",GIFT,GIFT KEY RING,ILS26G0452,1 NOS,1,0.0,5.0,8.5,0.0,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",GIFT,GIFT BALL PEN(ATOM),ILS26G0452,1 NOS,2026,0.0,10.0,8.5,0.0,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,BENFLOX-DX DROPS,ILS26G0452,10 ML,26EC08K,70.0,0.0,10.2,714.0,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,CLIDICLON TABLET,ILS26G0452,20X10 TAB,BT25-736,3.0,0.0,131.75,395.25,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,CMT-TEAR EYE DROP.,ILS26G0291,10 ML,25EJ31A,70.0,0.0,9.78,684.6,2026-04-20
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,COLYTE POWDER SACHET(ORANGE),ILS26G0291,21.8 GM,IO-01,180.0,0.0,5.1,918.0,2026-04-20
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,COLYTE ORANGE DRINK,ILS26G0291,180 ML,1G25023,96.0,0.0,16.15,1550.4,2026-04-20
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,COLYTE POWDER SACHET(LEMON),ILS26G0291,21.8 GM,IO-24,180.0,0.0,5.1,918.0,2026-04-20
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,CZZ-500 D TABLET,ILS26G0185,10X15 BOX,MNT-112552,3.0,0.0,174.25,522.75,2026-04-14
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,DICLONEX-MR TAB.,ILS26G0452,10X10 BOX,VG253871,5.0,0.0,93.5,467.5,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,DICLONEX-P TAB.,ILS26G0185,10X10 BOX,26RT0158C,5.0,0.0,63.75,318.75,2026-04-14
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,ISCON GUMMIES - BIOTIN,ILS26G0291,1X30 NOS,GP-49,10.0,0.0,91.8,918.0,2026-04-20
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,KETOCOS-DT TABLET,ILS26G0291,10X15 TAB,VGT260451D,3.0,0.0,110.5,331.5,2026-04-20
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,LEEBONN-250 TAB.,ILS26G0185,10X10 BOX,HT-260134,3.0,0.0,199.75,599.25,2026-04-14
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,LULOZ ULTRA CREAM,ILS26G0452,15GM TUBE,EX-25250,20.0,0.0,17.85,357.0,2026-04-27
"[ANU05] - ANUJ PHARMA, RAJKOT",ISCON,MECOSON-MD TABLET,ILS26G0291,10X10 BOX,SBT-2363,3.0,0.0,144.5,433.5,2026-04-20
